Distrito,Departamento,Nivel_Riesgo,Poblacion_Expuesta,Colegios_Riesgo,Latitud,Longitud
ARAMANGO,AMAZONAS,MA,9765,83,-6.0948,-78.1691
COPALLIN,AMAZONAS,A,4595,24,-5.7965,-77.9316
EL PARCO,AMAZONAS,A,1216,4,-6.1768,-78.393
IMAZA,AMAZONAS,MA,25162,259,-5.6978,-77.8244
LA PECA,AMAZONAS,MA,6260,49,-5.7388,-78.249
YAMBRASBAMBA,AMAZONAS,A,5577,33,-6.843,-77.3834
EL CENEPA,AMAZONAS,MA,9891,115,-5.611,-78.1349
NIEVA,AMAZONAS,MA,18626,221,-6.9425,-77.5181
RIO SANTIAGO,AMAZONAS,A,13953,130,-6.3505,-77.6547
CAMPANILLA,SAN MARTIN,A,9097,30,-7.1511,-77.1009
HUICUNGO,SAN MARTIN,A,5415,22,-7.0272,-76.3601
JUANJUI,SAN MARTIN,A,32444,44,-6.6713,-76.2847
PACHIZA,SAN MARTIN,A,3971,11,-5.7779,-75.9221
PAJARILLO,SAN MARTIN,A,5345,16,-6.9839,-76.321
POLVORA,SAN MARTIN,A,10515,48,-6.417,-76.6214
TOCACHE,SAN MARTIN,A,26166,83,-6.9148,-75.6015
BAGUA GRANDE,AMAZONAS,A,50841,168,-6.2917,-78.3418
CAJARURO,AMAZONAS,A,25391,123,-5.9082,-77.5029
CUMBA,AMAZONAS,MA,7855,46,-6.7034,-77.7126
EL MILAGRO,AMAZONAS,A,4485,30,-6.0357,-78.347
JAMALCA,AMAZONAS,A,6597,29,-6.2625,-78.2918
LONYA GRANDE,AMAZONAS,A,10565,39,-5.8341,-78.4357
YAMON,AMAZONAS,A,2348,15,-6.6669,-77.9042
AYAHUANCO,AYACUCHO,A,5861,40,-13.7845,-74.686
CANAYRE,AYACUCHO,MA,3520,19,-13.2386,-74.1952
LLOCHEGUA,AYACUCHO,MA,10058,61,-13.7867,-74.1541
SIVIA,AYACUCHO,MA,10797,77,-13.4351,-73.4988
ANCHIHUAY,AYACUCHO,MA,4039,33,-12.9255,-73.4925
ANCO,AYACUCHO,A,9827,65,-13.6806,-74.2096
AYNA,AYACUCHO,MA,9298,37,-13.3364,-74.1194
CHUNGUI,AYACUCHO,A,4865,56,-13.7667,-74.341
SAMUGARI,AYACUCHO,MA,9410,45,-12.3789,-73.666
SANTA ROSA,AYACUCHO,MA,11279,53,-12.5529,-73.914
BELLAVISTA,CAJAMARCA,A,15967,31,-7.2348,-78.6187
CHONTALI,CAJAMARCA,A,9151,52,-7.0253,-78.1887
COLASAY,CAJAMARCA,A,11283,67,-7.1584,-77.8596
HUABAL,CAJAMARCA,A,7674,38,-6.4276,-78.6835
JAEN,CAJAMARCA,A,94153,204,-7.8926,-78.7303
LAS PIRIAS,CAJAMARCA,MA,4275,21,-6.3861,-79.1352
POMAHUACA,CAJAMARCA,A,8264,42,-7.4851,-79.0345
PUCARA,CAJAMARCA,A,7292,27,-6.6713,-78.3619
SALLIQUE,CAJAMARCA,A,7411,43,-6.9934,-79.0385
SAN FELIPE,CAJAMARCA,A,5682,23,-7.4208,-78.9669
SAN JOSE DEL ALTO,CAJAMARCA,A,6697,42,-6.6853,-78.3371
SANTA ROSA,CAJAMARCA,A,10515,26,-7.172,-78.8953
CHIRINOS,CAJAMARCA,MA,14592,79,-6.6967,-78.6508
HUARANGO,CAJAMARCA,MA,18012,102,-6.4883,-79.1009
LA COIPA,CAJAMARCA,A,18484,77,-7.0396,-77.9261
NAMBALLE,CAJAMARCA,A,9454,49,-6.7027,-77.7265
SAN IGNACIO,CAJAMARCA,A,34659,152,-7.2025,-78.1256
SAN JOSE DE LOURDES,CAJAMARCA,MA,17046,114,-7.6974,-77.7661
TABACONAS,CAJAMARCA,A,17297,87,-7.6256,-78.4316
CHOROS,CAJAMARCA,MA,2878,29,-7.799,-77.7011
CUJILLO,CAJAMARCA,MA,2330,25,-6.643,-78.1008
PIMPINGOS,CAJAMARCA,MA,5100,57,-6.5501,-78.8091
SANTO TOMAS,CAJAMARCA,MA,6988,53,-7.3758,-77.7816
SOCOTA,CAJAMARCA,A,11475,69,-7.4093,-77.9048
TORIBIO CASANOVA,CAJAMARCA,MA,1115,11,-6.699,-78.2974
KOSÑIPATA,CUSCO,A,4247,31,-14.2831,-72.1818
PAUCARTAMBO,CUSCO,MA,11871,67,-12.9231,-72.3789
QERO,CUSCO,A,2890,13,-13.7915,-71.493
YANATILE,CUSCO,A,9498,75,-14.2185,-71.8659
